"","x","y","row","col","tipe","jenis","sistem"
"400",19.35,38,10,3,"light","Jabon","kompleks"
"401",19.35,42,11,3,"light","Pulai","kompleks"
"402",19.35,46,12,3,"light","Jabon","kompleks"
"403",19.35,50,13,3,"light","Pulai","kompleks"
"404",30.65,0,1,4,"light","Jabon","kompleks"
"405",30.65,4,2,4,"light","Pulai","kompleks"
"406",30.65,8,3,4,"light","Jabon","kompleks"
"407",30.65,12,4,4,"light","Pulai","kompleks"
"408",30.65,16,5,4,"light","Jabon","kompleks"
"409",30.65,20,6,4,"light","Pulai","kompleks"
"410",30.65,24,7,4,"light","Jabon","kompleks"
"411",30.65,28,8,4,"light","Pulai","kompleks"
"412",30.65,32,9,4,"light","Jabon","kompleks"
"413",30.65,36,10,4,"light","Pulai","kompleks"
"414",30.65,40,11,4,"light","Jabon","kompleks"
"415",30.65,44,12,4,"light","Pulai","kompleks"
"416",30.65,48,13,4,"light","Jabon","kompleks"
"417",36.65,2,1,5,"light","Pulai","kompleks"
"418",36.65,6,2,5,"light","Jabon","kompleks"
"419",36.65,10,3,5,"light","Pulai","kompleks"
"420",36.65,14,4,5,"light","Jabon","kompleks"
"421",36.65,18,5,5,"light","Pulai","kompleks"
"422",36.65,22,6,5,"light","Jabon","kompleks"
"423",36.65,26,7,5,"light","Pulai","kompleks"
"424",36.65,30,8,5,"light","Jabon","kompleks"
"425",36.65,34,9,5,"light","Pulai","kompleks"
"426",36.65,38,10,5,"light","Jabon","kompleks"
"427",36.65,42,11,5,"light","Pulai","kompleks"
"428",36.65,46,12,5,"light","Jabon","kompleks"
"429",36.65,50,13,5,"light","Pulai","kompleks"
"430",47.95,0,1,6,"light","Jabon","kompleks"
"431",47.95,4,2,6,"light","Pulai","kompleks"
"432",47.95,8,3,6,"light","Jabon","kompleks"
"433",47.95,12,4,6,"light","Pulai","kompleks"
"434",47.95,16,5,6,"light","Jabon","kompleks"
"435",47.95,20,6,6,"light","Pulai","kompleks"
"436",47.95,24,7,6,"light","Jabon","kompleks"
"437",47.95,28,8,6,"light","Pulai","kompleks"
"438",47.95,32,9,6,"light","Jabon","kompleks"
"439",47.95,36,10,6,"light","Pulai","kompleks"
"440",47.95,40,11,6,"light","Jabon","kompleks"
"441",47.95,44,12,6,"light","Pulai","kompleks"
"442",47.95,48,13,6,"light","Jabon","kompleks"
"443",16.35,0,1,1,"shade","Kemiri","kompleks"
"444",16.35,6,2,1,"shade","Meranti bunga","kompleks"
"445",16.35,12,3,1,"shade","Kemiri","kompleks"
"446",16.35,18,4,1,"shade","Meranti bunga","kompleks"
"447",16.35,24,5,1,"shade","Kemiri","kompleks"
"448",16.35,30,6,1,"shade","Meranti bunga","kompleks"
"449",16.35,36,7,1,"shade","Kemiri","kompleks"
"450",16.35,42,8,1,"shade","Meranti bunga","kompleks"
"451",16.35,48,9,1,"shade","Kemiri","kompleks"
"452",33.65,0,1,2,"shade","Meranti bunga","kompleks"
"453",33.65,6,2,2,"shade","Kemiri","kompleks"
"454",33.65,12,3,2,"shade","Meranti bunga","kompleks"
"455",33.65,18,4,2,"shade","Kemiri","kompleks"
"456",33.65,24,5,2,"shade","Meranti bunga","kompleks"
"457",33.65,30,6,2,"shade","Kemiri","kompleks"
"458",33.65,36,7,2,"shade","Meranti bunga","kompleks"
"459",33.65,42,8,2,"shade","Kemiri","kompleks"
"460",33.65,48,9,2,"shade","Meranti bunga","kompleks"
"461",6.55,0,1,1,"karet","karet","regen"
"462",6.55,2.7,2,1,"karet","karet","regen"
"463",6.55,5.4,3,1,"karet","karet","regen"
"464",6.55,8.1,4,1,"karet","karet","regen"
"465",6.55,10.8,5,1,"karet","karet","regen"
"466",6.55,13.5,6,1,"karet","karet","regen"
"467",6.55,16.2,7,1,"karet","karet","regen"
"468",6.55,18.9,8,1,"karet","karet","regen"
"469",6.55,21.6,9,1,"karet","karet","regen"
"470",6.55,24.3,10,1,"karet","karet","regen"
"471",6.55,27,11,1,"karet","karet","regen"
"472",6.55,29.7,12,1,"karet","karet","regen"
"473",6.55,32.4,13,1,"karet","karet","regen"
"474",6.55,35.1,14,1,"karet","karet","regen"
"475",6.55,37.8,15,1,"karet","karet","regen"
"476",6.55,40.5,16,1,"karet","karet","regen"
"477",6.55,43.2,17,1,"karet","karet","regen"
"478",6.55,45.9,18,1,"karet","karet","regen"
"479",6.55,48.6,19,1,"karet","karet","regen"
"480",8.85,1.35,1,2,"karet","karet","regen"
"481",8.85,4.05,2,2,"karet","karet","regen"
"482",8.85,6.75,3,2,"karet","karet","regen"
"483",8.85,9.45,4,2,"karet","karet","regen"
"484",8.85,12.15,5,2,"karet","karet","regen"
"485",8.85,14.85,6,2,"karet","karet","regen"
"486",8.85,17.55,7,2,"karet","karet","regen"
"487",8.85,20.25,8,2,"karet","karet","regen"
"488",8.85,22.95,9,2,"karet","karet","regen"
"489",8.85,25.65,10,2,"karet","karet","regen"
"490",8.85,28.35,11,2,"karet","karet","regen"
"491",8.85,31.05,12,2,"karet","karet","regen"
"492",8.85,33.75,13,2,"karet","karet","regen"
"493",8.85,36.45,14,2,"karet","karet","regen"
"494",8.85,39.15,15,2,"karet","karet","regen"
"495",8.85,41.85,16,2,"karet","karet","regen"
"496",8.85,44.55,17,2,"karet","karet","regen"
"497",8.85,47.25,18,2,"karet","karet","regen"
"498",8.85,49.95,19,2,"karet","karet","regen"
"499",23.85,0,1,3,"karet","karet","regen"
"500",23.85,2.7,2,3,"karet","karet","regen"
"501",23.85,5.4,3,3,"karet","karet","regen"
"502",23.85,8.1,4,3,"karet","karet","regen"
"503",23.85,10.8,5,3,"karet","karet","regen"
"504",23.85,13.5,6,3,"karet","karet","regen"
"505",23.85,16.2,7,3,"karet","karet","regen"
"506",23.85,18.9,8,3,"karet","karet","regen"
"507",23.85,21.6,9,3,"karet","karet","regen"
"508",23.85,24.3,10,3,"karet","karet","regen"
"509",23.85,27,11,3,"karet","karet","regen"
"510",23.85,29.7,12,3,"karet","karet","regen"
"511",23.85,32.4,13,3,"karet","karet","regen"
"512",23.85,35.1,14,3,"karet","karet","regen"
